Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
80	Spectrogram 1	1	216.925388758	216.953238523	56839.2	65619.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0278	742-B5-A30_0001.flac	4	6
81	Spectrogram 1	1	216.944942848	216.952942248	69778.2	90804.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0080	742-B5-A30_0001.flac	6	6
82	Spectrogram 1	1	218.111670342	218.142482847	39972.3	73244.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0308	742-B5-A30_0001.flac	6	
83	Spectrogram 1	1	221.834354708	221.848575864	72550.8	89879.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0142	742-B5-A30_0001.flac	4	
84	Spectrogram 1	1	221.865759761	221.873166614	81561.9	88262.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0074	742-B5-A30_0001.flac	4	
85	Spectrogram 1	1	223.841907927	223.870942787	67467.7	85489.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0290	742-B5-A30_0001.flac	4	
86	Spectrogram 1	1	224.752654563	224.763024156	64232.9	79482.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0104	742-B5-A30_0001.flac	6	
87	Spectrogram 1	1	225.838202957	225.878792507	56839.2	69085.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0406	742-B5-A30_0001.flac	4	
88	Spectrogram 1	1	226.095072636	226.103368311	49907.6	57301.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0083	742-B5-A30_0001.flac	1	6
89	Spectrogram 1	1	226.101294392	226.119959660	70471.3	83179.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0187	742-B5-A30_0001.flac	4	6
90	Spectrogram 1	1	226.109590067	226.116996919	50138.6	55683.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0074	742-B5-A30_0001.flac	1	6
91	Spectrogram 1	1	226.730580599	226.749245867	68854.0	79713.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0187	742-B5-A30_0001.flac	4	
92	Spectrogram 1	1	226.977080686	226.993672035	65850.3	73706.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0166	742-B5-A30_0001.flac	4	
93	Spectrogram 1	1	226.984487538	226.992783213	76247.7	85720.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0083	742-B5-A30_0001.flac	4	
94	Spectrogram 1	1	227.012633577	227.020040429	79713.5	88262.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0074	742-B5-A30_0001.flac	4	
95	Spectrogram 1	1	228.009892292	228.017891693	79713.5	85258.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0080	742-B5-A30_0001.flac	4	5
96	Spectrogram 1	1	228.014632678	228.023224626	61922.4	68391.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0086	742-B5-A30_0001.flac	4	5
97	Spectrogram 1	1	228.849829422	228.867605867	65619.2	79944.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0178	742-B5-A30_0001.flac	4	
98	Spectrogram 1	1	229.067294648	229.106995375	62615.5	82486.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0397	742-B5-A30_0001.flac	4	
99	Spectrogram 1	1	229.318831348	229.337496615	70009.2	83872.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0187	742-B5-A30_0001.flac	4	
100	Spectrogram 1	1	238.091507903	238.108395526	68622.9	79482.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0169	742-B5-A30_0001.flac	4	
101	Spectrogram 1	1	238.553695525	238.567027859	74861.4	90804.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0133	742-B5-A30_0001.flac	6	
102	Spectrogram 1	1	239.165205333	239.178241393	72781.9	88493.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0130	742-B5-A30_0001.flac	6	
103	Spectrogram 1	1	239.494069616	239.512734883	75323.5	94269.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0187	742-B5-A30_0001.flac	6	
104	Spectrogram 1	1	239.685758950	239.705016766	77865.1	90804.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0193	742-B5-A30_0001.flac	4	
105	Spectrogram 1	1	243.311857737	243.331708101	64001.8	77865.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0199	742-B5-A30_0001.flac	4	
106	Spectrogram 1	1	245.325929213	245.349631140	63077.6	69778.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0237	742-B5-A30_0001.flac	4	
107	Spectrogram 1	1	245.327410583	245.330373324	66081.3	66312.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0030	742-B5-A30_0001.flac	4	
109	Spectrogram 1	1	245.467844546	245.503397437	62153.4	71857.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0356	742-B5-A30_0001.flac		
110	Spectrogram 1	1	249.183714563	249.193491608	70933.5	82255.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0098	742-B5-A30_0001.flac	4	
111	Spectrogram 1	1	250.134458247	250.160826641	62153.4	69778.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0264	742-B5-A30_0001.flac	4	
