Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
75	Spectrogram 1	1	76.421731366	76.434488699	56227.6	64292.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
76	Spectrogram 1	1	78.335609795	78.388025794	52867.4	86021.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
77	Spectrogram 1	1	78.486201794	78.554703127	49283.2	68548.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
78	Spectrogram 1	1	79.033658159	79.100495492	66308.2	89605.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
80	Spectrogram 1	1	79.432741008	79.445775675	66084.2	71908.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
81	Spectrogram 1	1	79.714789191	79.739194524	49731.2	60931.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
82	Spectrogram 1	1	79.733093191	79.784122524	63620.1	83109.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
83	Spectrogram 1	1	80.006266523	80.021519856	77733.0	90501.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
84	Spectrogram 1	1	80.026234523	80.034554523	60483.9	86469.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
85	Spectrogram 1	1	80.697936221	80.768378888	65636.2	86917.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
86	Spectrogram 1	1	80.680741555	80.705701555	55331.5	66532.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
87	Spectrogram 1	1	82.927142413	82.988987746	51523.3	62276.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
88	Spectrogram 1	1	83.433275928	83.461563928	58691.8	70564.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
89	Spectrogram 1	1	83.456849261	83.466555928	80869.2	90501.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
90	Spectrogram 1	1	84.536231141	84.565905808	61828.0	69444.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
91	Spectrogram 1	1	84.639399141	84.680444474	60035.8	70340.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
92	Spectrogram 1	1	84.747836658	84.767804658	63172.0	67428.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
