"sound.files","selec","start","end","bottom.freq","top.freq","subtypes","composed.subtype","count.subtypes","composed.subtype.label","subtype.label"
"742-B5-A30_0009.flac",219,20.173427044,20.211735218,52.8674,81.0932,"4-4",219,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",220,21.13390771,21.162500043,51.0753,77.2849,"4-4",220,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",221,21.603322005,21.652733997,53.5394,88.2616,"4-4",221,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",222,22.02776565,22.051083669,57.5717,86.9176,"4-4",222,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",223,22.99990551,23.049317503,36.9624,56.8996,"4-4",223,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",224,24.667977562,24.698790658,47.267,76.6129,"4-4",224,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",225,24.939188328,24.96722547,52.8674,77.957,"4-4",225,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",226,25.070491166,25.122679112,48.8351,91.1738,"4-4",226,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",227,25.512978516,25.562390508,52.1953,90.2778,"4-4",227,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",228,26.021533586,26.064838478,51.5233,89.6057,"4-4",228,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",229,28.528777087,28.569306025,47.9391,85.1254,"4-4",229,2,"step.trill","step.trill"
"742-B5-A30_0009.flac",230,29.092573839,29.145316977,59.3638,92.7419,"4-6-4",230,3,"composed.complex","complex"
